Producer Name	Appearance	Aroma 	Taste	Mouth Feel	Overall Impression	How much will you pay for a bag? (Brazilian Reis$)	Ranking  (1 - least favorite, 6 - most favourite )
Itacare Cacao	fancy	cocaca	regular	regular	no personality	10	6
Cacauway	regular	fruity	alcoholic	pop corn	too sweet	50	1
Albeha Cacau	sharp	very smooth and easy	bitter pepper liquor	crunchy easy	its very elegant	50	3
Itacare Cacao				normal	dont like	2	2
Cacauway	soft like coffee	like coffee	strong and sweet like chocolate 80%	normal	better	20	1
Albeha Cacau	soft and nice	bitter cacao	bitter	normal	bitter dont like	20	3
Capelavelha	chocolate				fruta		
Pelourinho							
Bahia Cacao							
Itacare Cacao	fruta						
Cacauway							
Albeha Cacau		natural					
Itacare Cacao						55	4
Cacauway						82.5	6
Albeha Cacau						44	3
Cacauway						55	2
Pelourinho						66	5
Bahia Cacao						44	1
Capelavelha						40	
Pelourinho						50	
Bahia Cacao						50	
Itacare Cacao						30	
Cacauway						50	
Albeha Cacau						60	
Itacare Cacao	rocky	chocolate	sweet	paper	good	50	
Cacauway	nuts	cacao	liquorish stronger	rocky	good	60	
Albeha Cacau	rocky	cacao	liquorish bitter	rocky	ok	45	
Capelavelha	sand rock	chocolate	bitter	weird rocky	good	50	
Pelourinho	truffle	chocolate	wood	sticky rocky	ok	40	
Bahia Cacao	crystal	sweet	sweet	sugary	very good	65	
Itacare Cacao	hardened chocolate milk	rich	balanced	crunchy	incredible	30	4
Cacauway		strong	balance on the sweet side	crunchy	very good	32	5
Albeha Cacau	dog food	dog food		not good	not good	10	2
Capelavelha	ugly	rich	incredible	sticky rocky	incredible	25	6
Pelourinho	sheep poop	chocolate	bitter not good		not good	8	1
Bahia Cacao		not much	sweet	great	sweet 	22	3
Itacare Cacao	croast chocolate	ok	mediocre	croc	strange		
Cacauway	chocolate piece	soft	good	croc	nice		
Albeha Cacau	dont know	cacau	chocolate grains	croc	very similar to other		
Capelavelha	chocolate piece	exotic	good	peanuts	nice and different		
Pelourinho	chocolate piece	cacau	toast seed	croc	ok		
Bahia Cacao	sugar crest peanut	none	alcholic	croc	ok		
Capelavelha	baby poop 	cacao sweet chocolate	sweet chocolate	crunchy	nice treat	82.5	2
Pelourinho	pine cone	sweet	cinnomin sugar honey	explosion of sweet rich	Yummy	99	6
Bahia Cacao	coated almond dark	rich	dark rich sweet not too sweet	crunchy nice feel	nice rich	99	4
Itacare Cacao	large dark treat	cocoa powder	crunchy sweet 	crunchy 	needs better packaging	121	6
Cacauway	good size	cocoa	sweet cinnamon	crunchy 	lightly sweet light luxury	88	4
Albeha Cacau		cocoa powder		crunchy 	different nice	99	3
Itacare Cacao						30	4
Cacauway						30	3
Albeha Cacau						40	2
Capelavelha		cafe			very good	60	6
Pelourinho						0	1
Bahia Cacao					very good	70	5
Itacare Cacao		cacau	sweetest so far	crunchy not so sour	good	45	
Cacauway	shit	not so cacao	suave	sandy crunchy	very nice	45	
Albeha Cacau		sweet	sweet	little crunchy	ok	20	
Capelavelha	rock	cacao	sweet truffle	crunch a little spicy	love it	90	
Pelourinho	old wood	neutral	sweet	coconut texture	good	60	
Bahia Cacao	piece of chocolate	chocolate	sour	watery	very good	60	
Itacare Cacao	dirty rock	fruity	sweet	dirty rock	good	55	
Cacauway	dirty rock	cinnamon	very sweet	dirt	good	55	
Capelavelha	sandy	fruity	sweet	good	good	27.5	
Pelourinho	good	garden	sweet chocolate		great	44	
Bahia Cacao	average	flowery	very sweet	sweet dirty	average	55	
Capelavelha	not appealing	chocolate	sweet	delicious satisfying	9/10		
Pelourinho	ok	cacao	bitter	left a bitter after taste	6/10		
Bahia Cacao	ugly	sugar not much aroma	too sweet	bad	4/10		
Itacare Cacao	ok	cacao	sweet neutral	indifferent	6/10		
Cacauway	good	cacau	neutral	indifferent	6/10		
Albeha Cacau	nice	cacau	spicy	nice	9/10		
Itacare Cacao	good	citrus	sweet	great	7	29	2
Itacare Cacao	clean			sweet	7	39.9	4
Cacauway	bold			bold	8	49.9	5
Albeha Cacau		cacao	smooth	cacao 	8	39.9	6
Capelavelha		sweet	sweet		7	19.9	3
Bahia Cacao				Too sweet	6	9.9	1
Capelavelha	smooth	low	dark chocolate fruit	smooth	excellent		6
Pelourinho	slight less smooth	more sweetness	bit more sweet	rougher	great		3
Bahia Cacao	chipped nutty	similar to Pelourinho	too sweet		good		1
Itacare Cacao		low butty	dark similar to coffee	smooth	excellent	soft	5
Cacauway	nutty bean	cocoa chocolate	too sweet	rougher	good		2
Albeha Cacau	nutty bean	fermented cacao	bit more bitter	smooth	great excellet	smooth	4
