"eventname","eventlocation","more-link href"
"Chocolate Lover’s Festival","Eureka Springs, Arkansas, USA","https://chocolateaffairsmagazine.com/chocolate-lovers-festival/#more-2667"
"Chocolate Lovers Festival","Eureka Springs, Arizona, USA","https://chocolateaffairsmagazine.com/chocolate-lovers-festival-2/#more-2669"
"Chocolate Lovers Festival","Fairfax, Virginia, USA","https://chocolateaffairsmagazine.com/chocolate-lovers-festival-3/#more-2670"
"Chocolate Rush Festival","Melbourne, Victoria, Australia","https://chocolateaffairsmagazine.com/chocolate-rush-festival/#more-2671"
"Chocolate Winterfest","Latrobe, Tasmania, Australia","https://chocolateaffairsmagazine.com/chocolate-winterfest/#more-2674"
"Cincinnati Chocolate Festival","Cincinnati, Ohio, USA","https://chocolateaffairsmagazine.com/cincinnati-chocolate-festival/#more-2677"
"Cioccolato, Turin Chocolate Festival","Afton, Wyoming, USA","https://chocolateaffairsmagazine.com/cioccolato-turin-chocolate-festival/#more-2678"
"Dallas Chocolate Festival","Addison, Texas, USA","https://chocolateaffairsmagazine.com/dallas-chocolate-festival/#more-2682"
"Danish Chocolate Festival","Copenhagen K, Arizona, Denmark","https://chocolateaffairsmagazine.com/danish-chocolate-festival/#more-2683"
"EDINBURGH CHOCOLATE & WINE TASTING","Edinburgh, Scotland, United Kingdom","https://chocolateaffairsmagazine.com/edinburgh-chocolate-wine-tasting/#more-2611"
"Edinburgh Chocolate Festival","Edinburgh, Scotland, United Kingdom","https://chocolateaffairsmagazine.com/edinburgh-chocolate-festival/#more-2687"
"Festival del Chocolate","Tabasco, Mexico","https://chocolateaffairsmagazine.com/festival-del-chocolate/#more-2692"
"Festival of Chocolate","Vancouver, British Columbia, Canada","https://chocolateaffairsmagazine.com/festival-of-chocolate/#more-2691"
"Firehouse Art Centre Chocolate Festival","Norman, Oklahoma, USA","https://chocolateaffairsmagazine.com/firehouse-art-centre-chocolate-festival/#more-2693"
"GHIRARDELLI CHOCOLATE FESTIVAL","San Francisco, California, USA","https://chocolateaffairsmagazine.com/ghirardelli-chocolate-festival/#more-2614"
"Granville Island Beer and Chocolate Festival","Granville Island, British Columbia, Canada","https://chocolateaffairsmagazine.com/granville-island-beer-and-chocolate-festival/#more-2696"
"Grenada Chocolate Festival","Grenada","https://chocolateaffairsmagazine.com/grenada-chocolate-festival/#more-2697"
"Hamrun Chocolate Festival","Malta","https://chocolateaffairsmagazine.com/hamrun-chocolate-festival/#more-2702"
"Harvard Square Chocolate Festival","Boston, Massachusetts, USA","https://chocolateaffairsmagazine.com/harvard-square-chocolate-festival/#more-2698"
"Haute Chocolate Market + Festival","Phoenix, Arizona, USA","https://chocolateaffairsmagazine.com/haute-chocolate-market-festival/#more-2699"
"Hawaiian Chocolate Festival","Honolulu, Hawaii, USA","https://chocolateaffairsmagazine.com/hawaiian-chocolate-festival/#more-2700"
"Holiday Chocolate Festival","Colorado Springs, Colorado, USA","https://chocolateaffairsmagazine.com/holiday-chocolate-festival/#more-2701"
"International Chocolate Festival","Clewiston, Florida, USA","https://chocolateaffairsmagazine.com/international-chocolate-festival/#more-2703"
"International Chocolate Festival","Obidos, Portugal, USA","https://chocolateaffairsmagazine.com/international-chocolate-festival-2/#more-2704"
"International Tango Chocolate Festival","Hamburg, Germany","https://chocolateaffairsmagazine.com/international-tango-chocolate-festival/#more-2705"
"Islington Chocolate Festival","Islington, England, United Kingdom","https://chocolateaffairsmagazine.com/islington-chocolate-festival/#more-2707"
"Israeli Chocolate Week and Chocolate Festival","Israel","https://chocolateaffairsmagazine.com/israeli-chocolate-week-and-chocolate-festival/#more-2708"
"Jamaica Ice Cream and Chocolate Festival","Jamaica","https://chocolateaffairsmagazine.com/jamaica-ice-cream-and-chocolate-festival/#more-2710"
"Kennett Chocolate Lover’s Festival","Wilmington, Delaware, USA","https://chocolateaffairsmagazine.com/kennett-chocolate-lovers-festival/#more-2713"
"Kennett Chocolate Lover’s Festival","Wilmington, Delaware, USA","https://chocolateaffairsmagazine.com/kennett-chocolate-lovers-festival-2/#more-2714"
"Las Vegas Chocolate Festival & Pastry Show","Las Vegas, Nevada, USA","https://chocolateaffairsmagazine.com/las-vegas-chocolate-festival-pastry-show/#more-2715"
"LE SALON DU CHOCOLAT","Paris, Ile-de-france, France","https://chocolateaffairsmagazine.com/le-salon-du-chocolat/#more-2615"
"LEWISBURG CHOCOLATE FESTIVAL","Lewisburg, West Virginia, USA","https://chocolateaffairsmagazine.com/lewisburg-chocolate-festival/#more-2616"
"Lewisburg Chocolate Festival","Lewisburg, West Virginia, USA","https://chocolateaffairsmagazine.com/lewisburg-chocolate-festival-2/#more-2716"
"Lille  Salon du Chocolat","Lille, Nord-pas-de-calais, France","https://chocolateaffairsmagazine.com/lille-salon-du-chocolat/#more-2717"
"Long Island Chocolate Festival","Sayville, New York, USA","https://chocolateaffairsmagazine.com/long-island-chocolate-festival/#more-2718"
"MAY WINE & CHOCOLATE AFFAIR","Tacoma, Washington, USA","https://chocolateaffairsmagazine.com/may-wine-chocolate-affair/#more-2617"
"MONTEREY CHOCOLATE SALON","Carmel, California, USA","https://chocolateaffairsmagazine.com/monterey-chocolate-salon/#more-2618"
"New Zealand Chocolate Festival","Wellington, New Zealand","https://chocolateaffairsmagazine.com/new-zealand-chocolate-festival/#more-2729"
"Northeast Family Chocolate Festival","Albany, New York, USA","https://chocolateaffairsmagazine.com/northeast-family-chocolate-festival/#more-2731"
"Northwest Chocolate Festival","Seattle, Washington, USA","https://chocolateaffairsmagazine.com/northwest-chocolate-festival/#more-2732"
"O.C. Chocolate Festival","Fountain Valley, California, USA","https://chocolateaffairsmagazine.com/o-c-chocolate-festival/#more-2733"
"Oakdale Chocolate Festival","Oakdale, California, USA","https://chocolateaffairsmagazine.com/oakdale-chocolate-festival/#more-2734"
"Oakhurst Chocolate and Wine Festival","Oakhurst, California, USA","https://chocolateaffairsmagazine.com/oakhurst-chocolate-and-wine-festival/#more-2735"
"OBIDOS CHOCOLATE FESTIVAL","Funchal, Madeira, Portugal","https://chocolateaffairsmagazine.com/obidos-chocolate-festival/#more-2619"
"Opatija Chocolate Festival","Acton, Croatia","https://chocolateaffairsmagazine.com/opatija-chocolate-festival/#more-2736"
"ORIGIN CHOCOLATE EVENT","Mauritskade, Amsterdam, HOLLAND","https://chocolateaffairsmagazine.com/origin-chocolate-event/#more-2620"
"ournees du Chocolat Festival Bayonne","Amance, Franche-comte, France","https://chocolateaffairsmagazine.com/ournees-du-chocolat-festival-bayonne/#more-2712"
"Oxford Chocolate Festival","Oxford, England, United Kingdom","https://chocolateaffairsmagazine.com/oxford-chocolate-festival/#more-2738"
"Paderborn","Paderborn, Germany","https://chocolateaffairsmagazine.com/paderborn/#more-2739"
"PARADISE CHOCOLATE FEST","Paradise, California, USA","https://chocolateaffairsmagazine.com/paradise-chocolate-fest/#more-2622"
"Pinehurst Chocolate Festival","Pinehurst, North Carolina, USA","https://chocolateaffairsmagazine.com/pinehurst-chocolate-festival/#more-2743"
"RAMSBOTTOM CHOCOLATE FESTIVAL","Ramsbottom, United Kingdom","https://chocolateaffairsmagazine.com/ramsbottom-chocolate-festival/#more-2624"
"Ramsbottom Chocolate Festival","Ramsbottom, United Kingdom","https://chocolateaffairsmagazine.com/ramsbottom-chocolate-festival-2/#more-2745"
"Red Wine and Chocolate Festival","Mount Vernon, Washington, USA","https://chocolateaffairsmagazine.com/red-wine-and-chocolate-festival/#more-2746"
"Resorts World Manila’s Chocolate Festival","Pasay City, Manila, Phillippines","https://chocolateaffairsmagazine.com/resorts-world-manilas-chocolate-festival/#more-2747"
"SALON DU CHOCOLAT DE TOULOUSE","MichelBénech, Toulouse, France","https://chocolateaffairsmagazine.com/salon-du-chocolat-de-toulouse/#more-2636"
"Salvador da Bahia Salon du Chocolat","Bahia, Brazil","https://chocolateaffairsmagazine.com/salvador-da-bahia-salon-du-chocolat/#more-2759"
"Samoan Chocolate Festival","Samoan Islands, South Pacific, Australia","https://chocolateaffairsmagazine.com/samoan-chocolate-festival/#more-2756"
"SAN FRANCISCO INTERNATIONAL CHOCOLATE SALON","San Francisco, California, USA","https://chocolateaffairsmagazine.com/san-francisco-international-chocolate-salon/#more-2625"
"Santa Cruz Chocolate Festival","Santa Cruz, California, USA","https://chocolateaffairsmagazine.com/santa-cruz-chocolate-festival/#more-2758"
"Smooth Chocolate Festival","Sydney, New South Wales, Australia","https://chocolateaffairsmagazine.com/smooth-chocolate-festival/#more-2762"
"Southbank Centre Chocolate Festival","London, England, United Kingdom","https://chocolateaffairsmagazine.com/southbank-centre-chocolate-festival/#more-2763"
"SPECIALITY CHOCOLATE FAIR","Kensington, London, United Kingdom","https://chocolateaffairsmagazine.com/speciality-chocolate-fair/#more-2626"
"Spring Chocolate and Pastry Festival","Toronto, Ontario, Canada","https://chocolateaffairsmagazine.com/spring-chocolate-and-pastry-festival/#more-2765"
"STOCKHOLM CHOCOLATE FESTIVAL","Massvagen, AlvsjoStockholm, Sweden","https://chocolateaffairsmagazine.com/stockholm-chocolate-festival/#more-2628"
"Stockholm Chocolate Festival","Stockholm, Sweden","https://chocolateaffairsmagazine.com/stockholm-chocolate-festival-2/#more-2766"
"Sweet Days Chocolate and Sweets Festival","Castle of Buda, Budapest, Hungary","https://chocolateaffairsmagazine.com/sweet-days-chocolate-and-sweets-festival/#more-2767"
"SWEET DAYS- CHOCOLATE AND CANDY FESTIVAL","Budapest ?Buda, Budapest, Hungary","https://chocolateaffairsmagazine.com/sweet-days-chocolate-and-candy-festival/#more-2629"
"SWEET TOOTH FESTIVAL","Charlotte, North Carolina, USA","https://chocolateaffairsmagazine.com/sweet-tooth-festival/#more-2630"
"Sweet Tooth Festival","Charlotte, Texas, USA","https://chocolateaffairsmagazine.com/sweet-tooth-festival-2/#more-2768"
"TAMPA CHOCOLATE FESTIVAL","Tampa, Florida, USA","https://chocolateaffairsmagazine.com/tampa-chocolate-festival/#more-2632"
"TAZA CHOCOLATE WEEK","Toledo District, Toledo, Belize","https://chocolateaffairsmagazine.com/taza-chocolate-week/#more-2631"
"The Chocolate Ball Gala","Toronto, Ontario, Canada","https://chocolateaffairsmagazine.com/the-chocolate-ball-gala/#more-2635"
"THE CHOCOLATE FESTIVAL","London, Greater London, United Kingdom","https://chocolateaffairsmagazine.com/the-chocolate-festival/#more-2623"
"The Chocolate Festival of Linkoping","Goteborg, Sweden","https://chocolateaffairsmagazine.com/the-chocolate-festival-of-linkoping/#more-2771"
"The Festival of Chocolate","Fort Lauderdale, Florida, USA","https://chocolateaffairsmagazine.com/the-festival-of-chocolate/#more-2772"
"The Festival of Chocolate","Orlando, Florida, USA","https://chocolateaffairsmagazine.com/the-festival-of-chocolate-2/#more-2773"
"The Festival of Chocolate","Tampa, Florida, USA","https://chocolateaffairsmagazine.com/the-festival-of-chocolate-3/#more-2774"
"The Mobile Chocolate Festival","Mobile, Alabama, USA","https://chocolateaffairsmagazine.com/the-mobile-chocolate-festival/#more-2775"
"TORONTO CHOCOLATE FESTIVAL","Toronto, Ontario, Canada","https://chocolateaffairsmagazine.com/toronto-chocolate-festival/#more-2633"
"Toronto Chocolate Festival","Toronto, Ontario, Canada","https://chocolateaffairsmagazine.com/toronto-chocolate-festival-2/#more-2776"
"TORONTO LUXURY CHOCOLATE SHOW","Toronto, Ontario, Canada","https://chocolateaffairsmagazine.com/toronto-luxury-chocolate-show/#more-2634"
"Upper Valley Chocolate Festival","Vermont, England, United Kingdom","https://chocolateaffairsmagazine.com/upper-valley-chocolate-festival/#more-2780"
"Vancouver Hot Chocolate Festival","Venezuela","https://chocolateaffairsmagazine.com/vancouver-hot-chocolate-festival/#more-2781"
"Various States of Tabasco Tabasco,  MEXICO","Tabasco, Mexico","https://chocolateaffairsmagazine.com/various-states-of-tabasco-tabasco-mexico/#more-2612"
"West Coast Chocolate Festival","West Covina, California, USA","https://chocolateaffairsmagazine.com/west-coast-chocolate-festival/#more-2782"
"Wilmington Wine and Chocolate Festival","Wilmington, North Carolina, USA","https://chocolateaffairsmagazine.com/wilmington-wine-and-chocolate-festival/#more-2783"
"Wine and Chocolate Festival @ New York State Fair","New York, USA","https://chocolateaffairsmagazine.com/wine-and-chocolate-festival-new-york-state-fair/#more-2784"
"WINE LOVES CHOCOLATE","Charlottesville, Virginia, USA","https://chocolateaffairsmagazine.com/wine-loves-chocolate/#more-2610"
"World Chocolate Festival","Mito, Ibaraki Prefecture, Japan","https://chocolateaffairsmagazine.com/world-chocolate-festival/#more-2711"
"York Chocolate Festival","York, England, United Kingdom","https://chocolateaffairsmagazine.com/york-chocolate-festival/#more-2785"
"Zonta Chocolate Festival","Melbourne, Victoria, Australia","https://chocolateaffairsmagazine.com/zonta-chocolate-festival/#more-2787"
